Experiment,True_diff_mean,Count,PB_Diff_Mean,LM_Diff_Mean
Muller2016,-5.64,150,-5.21 (1.03),-5.21 (1.03)
Muller2016,-4.64,150,-4.28 (0.82),-4.28 (0.82)
Muller2016,-3.32,150,-3.08 (0.57),-3.08 (0.57)
Muller2016,-2.32,150,-2.13 (0.34),-2.13 (0.34)
Muller2016,-1.32,150,-1.15 (0.21),-1.15 (0.21)
Muller2016,0,82310,0.09 (0.32),0.09 (0.32)
Huang2020,-3.33,274,-2.9 (1.28),-2.9 (1.28)
Huang2020,-3.18,274,-2.82 (1.28),-2.82 (1.28)
Huang2020,-2.82,274,-2.52 (1.18),-2.52 (1.18)
Huang2020,-1.89,274,-1.63 (0.9),-1.63 (0.9)
Huang2020,0,331148,0.03 (0.55),0.03 (0.55)
Bouyssie2020,-12.29,22,-4.7 (2.2),-4.7 (2.2)
Bouyssie2020,-9.97,22,-4.67 (2.2),-4.67 (2.2)
Bouyssie2020,-8.97,22,-4.7 (2.22),-4.7 (2.22)
Bouyssie2020,-7.64,22,-4.45 (2.03),-4.45 (2.03)
Bouyssie2020,-6.64,22,-4.16 (1.83),-4.16 (1.83)
Bouyssie2020,-5.64,22,-3.8 (1.61),-3.8 (1.61)
Bouyssie2020,-3.32,22,-2.61 (1.01),-2.61 (1.01)
Bouyssie2020,-2.32,22,-1.93 (0.84),-1.93 (0.84)
Bouyssie2020,-1,22,-0.77 (0.3),-0.77 (0.3)
Bouyssie2020,0,122409,0.14 (0.29),0.14 (0.29)
Chion2022,-7.64,107,-4.01 (2.45),-4.01 (2.45)
Chion2022,-5.32,107,-4.44 (0.96),-4.44 (0.96)
Chion2022,-4.32,107,-3.22 (1.11),-3.22 (1.11)
Chion2022,-3,107,-3.09 (0.66),-3.09 (0.66)
Chion2022,-2,107,-1.68 (0.39),-1.68 (0.39)
Chion2022,-1,107,-1.28 (0.48),-1.28 (0.48)
Chion2022,0,71148,0.06 (0.49),0.06 (0.49)
