Experiment,True,Count,RMSE,CIC
Muller2016,-5.64,229,0.55 (0.74),95.2 (21.43)
Muller2016,-4.64,350,0.37 (0.43),96.86 (17.47)
Muller2016,-3.32,477,0.28 (0.38),99.58 (6.47)
Muller2016,-2.32,538,0.22 (0.32),99.26 (8.6)
Muller2016,-1.32,585,0.2 (0.25),98.63 (11.62)
Muller2016,0,96364,0.15 (0.23),99.73 (5.24)
Huang2020,-3.33,382,0.53 (0.71),91.1 (28.51)
Huang2020,-3.18,381,0.51 (0.7),91.6 (27.77)
Huang2020,-2.82,381,0.4 (0.59),94.49 (22.85)
Huang2020,-1.89,389,0.38 (0.53),93.83 (24.09)
Huang2020,0,381031,0.23 (0.39),97.87 (14.44)
Bouyssie2020,-12.29,101,5.42 (1.35),55.45 (49.95)
Bouyssie2020,-9.97,94,2.93 (1.16),55.32 (49.98)
Bouyssie2020,-8.97,108,1.89 (1.12),62.04 (48.76)
Bouyssie2020,-7.64,181,1.01 (1.04),86.19 (34.6)
Bouyssie2020,-6.64,252,0.51 (0.56),99.21 (8.89)
Bouyssie2020,-5.64,351,0.43 (0.47),92.88 (25.76)
Bouyssie2020,-3.32,545,0.38 (0.54),88.81 (31.56)
Bouyssie2020,-2.32,623,0.37 (0.61),88.76 (31.61)
Bouyssie2020,-1,680,0.34 (0.6),88.38 (32.07)
Bouyssie2020,0,171073,0.12 (0.18),99.75 (4.98)
Chion2022,-7.64,204,2.7 (1.73),49.51 (50.12)
Chion2022,-5.32,348,0.5 (0.52),96.55 (18.27)
Chion2022,-4.32,457,0.51 (0.4),94.97 (21.89)
Chion2022,-3,538,0.55 (0.47),91.45 (27.99)
Chion2022,-2,606,0.4 (0.41),92.74 (25.97)
Chion2022,-1,617,0.69 (0.55),86.87 (33.8)
Chion2022,0,93357,0.25 (0.28),99.05 (9.68)
