Group,Group2,Truth,True_diff_mean,nb_pept,PB_na,LM_na,PB_diff_mean,CI_width,Distinct,LM_diff_mean,p_value,Signif,RMSE,CIC,RMSE_PBtoT,RMSE_LMtoT
0.5fmol,25fmol,TRUE,-5.64,229,0,0,-5.01 (1.2),7.72 (7.58),65.07 (47.78),-5.01 (1.2),0.01 (0.09),96.51 (18.4),0.92 (1.52),95.2 (21.43),1.36 (2.31),1.36 (2.31)
1fmol,25fmol,TRUE,-4.64,350,0,0,-4.31 (0.86),6.08 (6.89),73.43 (44.23),-4.31 (0.86),0.01 (0.07),98 (14.02),0.57 (0.91),96.86 (17.47),0.92 (1.63),0.92 (1.63)
2.5fmol,25fmol,TRUE,-3.32,478,1,1,-3.09 (0.71),5.06 (6.14),75.68 (42.95),-3.09 (0.71),0.01 (0.09),96.23 (19.08),0.47 (0.83),99.58 (6.46),0.74 (1.3),0.74 (1.3)
5fmol,25fmol,TRUE,-2.32,538,0,0,-2.18 (0.58),4.18 (5.45),68.59 (46.46),-2.18 (0.58),0.02 (0.09),94.8 (22.23),0.39 (0.87),99.26 (8.6),0.6 (1.24),0.6 (1.24)
10fmol,25fmol,TRUE,-1.32,585,0,0,-1.2 (0.39),2.94 (3.83),0.68 (8.25),-1.2 (0.39),0.03 (0.12),90.09 (29.91),0.32 (0.59),98.63 (11.62),0.4 (0.71),0.4 (0.71)
0.5fmol,25fmol,FALSE,0,19856,559,559,0.09 (0.45),3.14 (4.01),99.93 (2.69),0.09 (0.45),0.35 (0.31),79.39 (40.45),0.31 (0.74),99.74 (5.11),0.46 (1.05),0.46 (1.05)
10fmol,25fmol,FALSE,0,19776,493,493,0.04 (0.39),3.17 (4.23),99.97 (1.76),0.04 (0.39),0.49 (0.3),93.38 (24.86),0.28 (0.72),99.7 (5.5),0.39 (0.99),0.39 (0.99)
1fmol,25fmol,FALSE,0,19784,548,548,0.11 (0.43),3.01 (3.98),99.9 (3.22),0.11 (0.43),0.38 (0.31),81.61 (38.74),0.3 (1.04),99.53 (6.8),0.45 (1.08),0.45 (1.08)
2.5fmol,25fmol,FALSE,0,19835,542,542,0.1 (0.4),3.2 (4.11),99.95 (2.16),0.1 (0.4),0.43 (0.31),87.96 (32.54),0.27 (0.67),99.83 (4.08),0.41 (0.97),0.41 (0.97)
5fmol,25fmol,FALSE,0,19740,485,485,0.07 (0.38),3.09 (4.08),99.96 (1.91),0.07 (0.38),0.45 (0.31),89.84 (30.22),0.26 (0.66),99.82 (4.21),0.39 (0.96),0.39 (0.96)
