Experiment,True_diff_mean,RMSE,CIC
Muller2016,-5.64,0.38 (0.53),93.33 (25.03)
Muller2016,-4.64,0.26 (0.34),95.33 (21.16)
Muller2016,-3.32,0.16 (0.22),99.33 (8.16)
Muller2016,-2.32,0.15 (0.21),100 (0)
Muller2016,-1.32,0.19 (0.29),96 (19.66)
Muller2016,0,0.13 (0.17),99.75 (4.96)
Huang2020,-3.33,0.32 (0.42),91.61 (27.78)
Huang2020,-3.18,0.32 (0.46),90.88 (28.85)
Huang2020,-2.82,0.21 (0.39),95.62 (20.5)
Huang2020,-1.89,0.2 (0.31),93.43 (24.82)
Huang2020,0,0.17 (0.25),98.4 (12.53)
Bouyssie2020,-12.29,5 (0.85),0 (0)
Bouyssie2020,-9.97,2.71 (0.85),4.55 (21.32)
Bouyssie2020,-8.97,1.68 (0.84),9.09 (29.42)
Bouyssie2020,-7.64,0.65 (0.59),63.64 (49.24)
Bouyssie2020,-6.64,0.39 (0.24),90.91 (29.42)
Bouyssie2020,-5.64,0.74 (0.28),31.82 (47.67)
Bouyssie2020,-3.32,1.87 (0.61),0 (0)
Bouyssie2020,-2.32,2.2 (0.95),0 (0)
Bouyssie2020,-1,2.35 (1.17),0 (0)
Bouyssie2020,0,0.09 (0.11),99.77 (4.81)
Chion2022,-7.64,2.85 (1.83),28.97 (45.58)
Chion2022,-5.32,0.39 (0.37),94.39 (23.11)
Chion2022,-4.32,0.42 (0.48),90.65 (29.24)
Chion2022,-3,0.89 (0.51),67.29 (47.14)
Chion2022,-2,0.56 (0.52),74.77 (43.64)
Chion2022,-1,1.08 (0.66),59.81 (49.26)
Chion2022,0,0.22 (0.23),99.09 (9.5)
