Group,Group2,Truth,True_diff_mean,nb_pept,PB_na,LM_na,PB_diff_mean,CI_width,Distinct,LM_diff_mean,p_value,Signif,RMSE,CIC,RMSE_PBtoT,RMSE_LMtoT
10amol,50fmol,TRUE,-12.29,101,0,0,-5.49 (1.99),11.47 (8.07),40.59 (49.35),-5.49 (1.99),0.01 (0.07),99.01 (9.95),5.58 (3.91),55.45 (49.95),7.08 (5.35),7.08 (5.35)
50amol,50fmol,TRUE,-9.97,94,0,0,-5.64 (1.96),10.52 (8.2),46.81 (50.17),-5.64 (1.96),0.01 (0.06),95.74 (20.29),3.15 (2.68),55.32 (49.98),4.75 (4.41),4.75 (4.41)
100amol,50fmol,TRUE,-8.97,108,0,0,-5.88 (1.96),10.71 (8.17),44.44 (49.92),-5.88 (1.96),0.01 (0.06),97.22 (16.51),2.19 (2.28),62.04 (48.76),3.65 (3.92),3.65 (3.92)
250amol,50fmol,TRUE,-7.64,181,0,0,-5.89 (1.81),9.17 (8.04),56.35 (49.73),-5.89 (1.81),0.02 (0.09),96.69 (17.95),1.45 (2.17),86.19 (34.6),2.52 (3.32),2.52 (3.32)
500amol,50fmol,TRUE,-6.64,252,0,0,-5.86 (1.29),7.95 (7.85),63.1 (48.35),-5.86 (1.29),0.01 (0.05),98.81 (10.87),0.76 (1.2),99.21 (8.89),1.51 (2.4),1.51 (2.4)
1fmol,50fmol,TRUE,-5.64,351,0,0,-5.2 (1.06),6.2 (7.2),73.79 (44.04),-5.2 (1.06),0.01 (0.06),98.29 (12.98),0.64 (1.08),92.88 (25.76),1.15 (1.97),1.15 (1.97)
5fmol,50fmol,TRUE,-3.32,545,0,0,-3.25 (0.56),3.62 (5.47),85.69 (35.05),-3.25 (0.56),0.01 (0.05),98.17 (13.43),0.66 (1.11),88.81 (31.56),0.56 (1.03),0.56 (1.03)
10fmol,50fmol,TRUE,-2.32,623,0,0,-2.26 (0.56),2.79 (4.47),84.43 (36.29),-2.26 (0.56),0.01 (0.08),96.95 (17.21),0.71 (1.34),88.76 (31.61),0.56 (1.04),0.56 (1.04)
25fmol,50fmol,TRUE,-1,680,0,0,-0.99 (0.39),2.02 (3.25),11.91 (32.42),-0.99 (0.39),0.03 (0.11),89.41 (30.79),0.69 (1.4),88.38 (32.07),0.39 (0.77),0.39 (0.77)
100amol,50fmol,FALSE,0,19749,784,784,0.14 (0.4),2.72 (4.39),99.86 (3.77),0.14 (0.4),0.31 (0.32),66.25 (47.29),0.22 (0.61),99.78 (4.66),0.43 (1.01),0.43 (1.01)
10amol,50fmol,FALSE,0,19739,823,823,0.12 (0.41),2.89 (4.62),99.85 (3.91),0.12 (0.41),0.32 (0.32),69.02 (46.24),0.23 (0.53),99.75 (4.98),0.43 (1.02),0.43 (1.02)
10fmol,50fmol,FALSE,0,19790,693,693,0.13 (0.38),2.72 (4.4),99.83 (4.09),0.13 (0.38),0.35 (0.32),72.49 (44.66),0.24 (0.64),99.66 (5.81),0.4 (1.01),0.4 (1.01)
1fmol,50fmol,FALSE,0,19783,755,755,0.16 (0.41),2.72 (4.38),99.83 (4.1),0.16 (0.41),0.3 (0.32),65.43 (47.56),0.23 (0.57),99.81 (4.38),0.44 (1.04),0.44 (1.04)
250amol,50fmol,FALSE,0,19770,794,794,0.14 (0.42),2.76 (4.46),99.82 (4.29),0.14 (0.42),0.3 (0.32),65.67 (47.48),0.23 (0.64),99.76 (4.92),0.44 (1.07),0.44 (1.07)
25fmol,50fmol,FALSE,0,19632,597,597,0.06 (0.35),2.83 (4.55),99.96 (1.92),0.06 (0.35),0.41 (0.32),81.23 (39.05),0.25 (0.64),99.67 (5.7),0.35 (0.89),0.35 (0.89)
500amol,50fmol,FALSE,0,19852,810,810,0.16 (0.42),2.74 (4.4),99.83 (4.1),0.16 (0.42),0.3 (0.31),64.86 (47.74),0.23 (0.65),99.83 (4.07),0.45 (1.12),0.45 (1.12)
50amol,50fmol,FALSE,0,19776,792,792,0.13 (0.42),2.74 (4.41),99.82 (4.23),0.13 (0.42),0.31 (0.32),66.25 (47.29),0.24 (0.69),99.69 (5.59),0.44 (1.13),0.44 (1.13)
5fmol,50fmol,FALSE,0,19768,738,738,0.14 (0.4),2.73 (4.4),99.83 (4.16),0.14 (0.4),0.32 (0.32),67.2 (46.95),0.23 (0.59),99.76 (4.92),0.42 (1.03),0.42 (1.03)
