Group,Group2,Truth,True_diff_mean,nb_pept,PB_na,LM_na,PB_diff_mean,CI_width,Distinct,LM_diff_mean,p_value,Signif,RMSE,CIC,RMSE_PBtoT,RMSE_LMtoT
Point1,Point7,TRUE,-7.64,205,1,1,-4.21 (2.41),7.64 (7.64),45.59 (49.93),-4.21 (2.41),0.02 (0.08),94.61 (22.64),3.2 (3.36),49.76 (50.12),4.19 (4.57),4.19 (4.57)
Point2,Point7,TRUE,-5.32,350,2,2,-4.59 (0.9),6.44 (7.12),71.26 (45.32),-4.59 (0.9),0.01 (0.06),98.56 (11.92),0.72 (1.29),96.29 (18.94),1.16 (1.82),1.16 (1.82)
Point3,Point7,TRUE,-4.32,459,2,2,-3.52 (0.87),4.71 (5.97),79.21 (40.62),-3.52 (0.87),0 (0.05),98.47 (12.29),0.65 (0.89),94.99 (21.84),1.18 (1.71),1.18 (1.71)
Point4,Point7,TRUE,-3,539,1,1,-3.06 (0.72),4.82 (5.75),74.91 (43.4),-3.06 (0.72),0 (0.03),97.96 (14.17),0.72 (0.99),91.47 (27.97),0.72 (1.3),0.72 (1.3)
Point5,Point7,TRUE,-2,608,2,2,-1.7 (0.49),3.35 (4.45),34.16 (47.46),-1.7 (0.49),0.01 (0.09),95.71 (20.28),0.58 (0.92),92.76 (25.93),0.57 (0.91),0.57 (0.91)
Point6,Point7,TRUE,-1,618,1,1,-1.43 (0.57),3.69 (4.78),6.48 (24.64),-1.43 (0.57),0.02 (0.09),93.68 (24.35),0.88 (1.25),86.89 (33.77),0.71 (1.37),0.71 (1.37)
Point1,Point7,FALSE,0,15874,567,567,0.03 (0.6),3.25 (4.37),99.78 (4.71),0.03 (0.6),0.28 (0.31),65.17 (47.64),0.37 (0.77),99.21 (8.84),0.61 (1.22),0.61 (1.22)
Point2,Point7,FALSE,0,15879,543,543,0.06 (0.58),3.12 (4.25),99.82 (4.19),0.06 (0.58),0.28 (0.31),64.87 (47.74),0.35 (0.79),99.31 (8.26),0.59 (1.08),0.59 (1.08)
Point3,Point7,FALSE,0,15989,543,543,0.07 (0.56),3.15 (4.25),99.87 (3.6),0.07 (0.56),0.31 (0.31),69.89 (45.88),0.33 (0.93),99.49 (7.1),0.57 (1.29),0.57 (1.29)
Point4,Point7,FALSE,0,16397,593,593,0.08 (0.61),3.74 (4.62),99.66 (5.78),0.08 (0.61),0.31 (0.31),71.42 (45.18),0.45 (0.9),98.33 (12.82),0.62 (1.26),0.62 (1.26)
Point5,Point7,FALSE,0,16253,526,526,0.04 (0.46),3.45 (4.61),99.9 (3.19),0.04 (0.46),0.41 (0.31),84.47 (36.22),0.28 (0.8),99.73 (5.2),0.46 (1.19),0.46 (1.19)
Point6,Point7,FALSE,0,16228,491,491,0.03 (0.51),3.88 (4.95),99.91 (2.98),0.03 (0.51),0.37 (0.31),80.27 (39.8),0.48 (0.88),98.24 (13.14),0.51 (1.23),0.51 (1.23)
