mean_diff,MSE,CI_coverage,Distrib_compare
-1.7234609715219606,0.0921600954592013,100,Mean_1_Cov_high_correlated
-2.032708627979214,0.08828581284927661,100,Mean_1_Cov_high_correlated
-1.5261039810911379,0.1208244647260282,100,Mean_1_Cov_high_correlated
-1.328932037293651,0.08713727394559952,100,Mean_1_Cov_high_correlated
-1.5290934553567024,0.17773746274948046,100,Mean_1_Cov_high_correlated
-0.6968753250250603,0.3650711019627121,0,Mean_1_Cov_high_correlated
-0.5578523048990613,0.05068119621358826,100,Mean_1_Cov_high_correlated
-1.136150375839035,1.7089214267063835,0,Mean_1_Cov_high_correlated
0.3436373435603898,0.030636924561671906,100,Mean_1_Cov_high_correlated
-0.7339753848407318,0.13727112290702304,100,Mean_1_Cov_high_correlated
-0.8684905972178706,0.2299065793772378,100,Mean_1_Cov_high_correlated
-2.4634862762661864,0.08556042178953184,100,Mean_1_Cov_high_correlated
-0.21302227704400908,0.6434796443685533,100,Mean_1_Cov_high_correlated
-0.43409234697126453,0.371807978088898,100,Mean_1_Cov_high_correlated
-1.7077197871282948,0.24872686892561566,100,Mean_1_Cov_high_correlated
-1.9092689530176863,0.08518814703510727,100,Mean_1_Cov_high_correlated
-2.1404064858060305,0.11571875133022581,100,Mean_1_Cov_high_correlated
-1.2968484788916257,0.14385379269870183,100,Mean_1_Cov_high_correlated
-2.5090342695667474,0.5233070720081897,0,Mean_1_Cov_high_correlated
-0.4929769495538549,0.25051190330603057,100,Mean_1_Cov_high_correlated
-0.6930085559379001,0.3782372623066743,0,Mean_1_Cov_high_correlated
0.6975927825972044,0.3530579837155252,100,Mean_1_Cov_high_correlated
-1.1702844902618321,0.14430746381135068,100,Mean_1_Cov_high_correlated
-1.8476494245971133,0.18617622118828978,100,Mean_1_Cov_high_correlated
-1.4401858935432765,0.015887733510791896,100,Mean_1_Cov_high_correlated
-0.9050266589201673,0.20879619738820862,100,Mean_1_Cov_high_correlated
-0.5462170686723355,0.6874638412476424,100,Mean_1_Cov_high_correlated
-0.8585285917672445,0.06449710955467264,100,Mean_1_Cov_high_correlated
-2.0037572087034,0.5807711950426695,100,Mean_1_Cov_high_correlated
-2.1552202325580163,0.8429962296895778,100,Mean_1_Cov_high_correlated
-1.5539958910296394,0.02002096159655611,100,Mean_1_Cov_high_correlated
-1.5025758260678994,0.06081540784215549,100,Mean_1_Cov_high_correlated
-1.7444745289292638,0.155079881070687,100,Mean_1_Cov_high_correlated
-0.48331283980782763,0.050175690313994395,100,Mean_1_Cov_high_correlated
-0.2929674962779822,0.0927868864882342,100,Mean_1_Cov_high_correlated
-0.37823875817516117,0.11311946912227785,100,Mean_1_Cov_high_correlated
-2.2652116189015827,0.3429225213072158,100,Mean_1_Cov_high_correlated
-2.593500927807165,0.4186747491491034,100,Mean_1_Cov_high_correlated
-1.4300458664327214,0.15001516598256243,100,Mean_1_Cov_high_correlated
-1.6535867727978202,0.018253963541398046,100,Mean_1_Cov_high_correlated
-2.4061205974586435,0.6380036201436143,100,Mean_1_Cov_high_correlated
-2.145661068253088,0.1658148111884727,100,Mean_1_Cov_high_correlated
-0.02176148644165112,0.10628330571110958,100,Mean_1_Cov_high_correlated
-0.2158426616298609,0.2807296798947638,100,Mean_1_Cov_high_correlated
-0.6807009981984674,0.9030934905320072,0,Mean_1_Cov_high_correlated
-1.3090761909372377,0.03224459474651101,100,Mean_1_Cov_high_correlated
-2.2677669319725315,0.04739185354274053,100,Mean_1_Cov_high_correlated
-1.0812043056946254,0.1449376005197936,100,Mean_1_Cov_high_correlated
-1.2018319689099446,0.1393407612586285,100,Mean_1_Cov_high_correlated
-2.1575749000476594,0.5795713505684418,0,Mean_1_Cov_high_correlated
-2.2335213666331386,0.09857018314205199,100,Mean_1_Cov_high_correlated
-0.6514511467665556,0.05850309501604569,100,Mean_1_Cov_high_correlated
-1.9487036058875695,0.7427697877266428,0,Mean_1_Cov_high_correlated
-2.31086725783417,1.0435732082152527,0,Mean_1_Cov_high_correlated
0.33069440811324247,0.26578515667642244,100,Mean_1_Cov_high_correlated
0.6097909638068032,0.41486497620655066,100,Mean_1_Cov_high_correlated
-1.2124107406999194,0.1199899300410275,100,Mean_1_Cov_high_correlated
-0.024978370759014323,0.03806687787831102,100,Mean_1_Cov_high_correlated
-0.6600142091305925,0.4930458035209167,100,Mean_1_Cov_high_correlated
-0.5603046611911425,0.07295856072540632,100,Mean_1_Cov_high_correlated
-1.174977622823955,0.09479909224219153,100,Mean_1_Cov_high_correlated
-1.0165957488261732,0.041349821232966134,100,Mean_1_Cov_high_correlated
-1.6701577780423755,0.6198059229457462,0,Mean_1_Cov_high_correlated
-1.1563917327388995,0.45583148350592584,100,Mean_1_Cov_high_correlated
-0.485133153528148,0.08777850188885451,100,Mean_1_Cov_high_correlated
-1.2314501055726703,0.1409546296332557,100,Mean_1_Cov_high_correlated
0.0391191525958949,0.8435148289119866,100,Mean_1_Cov_high_correlated
-0.9073288481992413,0.1394845117068274,100,Mean_1_Cov_high_correlated
-1.529141881682943,0.08299600043070367,100,Mean_1_Cov_high_correlated
-0.3614520777017531,0.06760778021526108,100,Mean_1_Cov_high_correlated
-0.062393676774612196,0.16927149012174342,100,Mean_1_Cov_high_correlated
-0.38341036909163156,0.6670084396581215,100,Mean_1_Cov_high_correlated
-2.495138885634245,0.5569823466457752,100,Mean_1_Cov_high_correlated
-1.2045214152911778,0.1044633628348444,100,Mean_1_Cov_high_correlated
-0.5294946464819856,0.15390705530996326,100,Mean_1_Cov_high_correlated
-1.6982416218656236,0.14968225266107982,100,Mean_1_Cov_high_correlated
-1.5525604718197987,0.2295986972458911,100,Mean_1_Cov_high_correlated
-1.3249084372292175,0.13071565841954114,100,Mean_1_Cov_high_correlated
-0.8463357511896618,0.08821378172022704,100,Mean_1_Cov_high_correlated
-1.6391761581263207,0.2808778098621021,100,Mean_1_Cov_high_correlated
-1.0502161063445468,0.0498038575576715,100,Mean_1_Cov_high_correlated
-2.1834946985076304,0.2676342826677574,100,Mean_1_Cov_high_correlated
-0.7672364916827201,0.19001351154046855,100,Mean_1_Cov_high_correlated
-0.9431932276658556,0.021655766617620417,100,Mean_1_Cov_high_correlated
-0.20437777336100713,0.12820742324585147,100,Mean_1_Cov_high_correlated
0.23529016469124195,0.02911262737112297,100,Mean_1_Cov_high_correlated
-1.3832637827639438,0.33581954202604386,100,Mean_1_Cov_high_correlated
-0.5728061027464463,0.2386127633749499,100,Mean_1_Cov_high_correlated
-0.6001335122545293,0.02279729454118944,100,Mean_1_Cov_high_correlated
-1.9011380824098125,0.03777103860648352,100,Mean_1_Cov_high_correlated
-1.7209383629587602,0.08027398769412356,100,Mean_1_Cov_high_correlated
0.556761443049158,0.11090726466927367,100,Mean_1_Cov_high_correlated
-1.364359910825173,0.2275717070670644,100,Mean_1_Cov_high_correlated
0.22484639932303796,0.6317876551174345,0,Mean_1_Cov_high_correlated
-0.5595792582765498,0.004775192296622659,100,Mean_1_Cov_high_correlated
-1.2727667227154558,0.14770481984414968,100,Mean_1_Cov_high_correlated
-1.6106275123703373,0.4884828107883477,100,Mean_1_Cov_high_correlated
-2.093500525960416,0.04654778108462536,100,Mean_1_Cov_high_correlated
-0.5773017154088187,0.06639108122235697,100,Mean_1_Cov_high_correlated
-1.099821368661344,0.16474402480806496,100,Mean_1_Cov_high_correlated
0.5986788585731603,0.25555390749659007,100,Mean_1_Cov_high_correlated
-0.26863703274792433,0.05843088980039309,100,Mean_1_Cov_high_correlated
-1.8042150042956684,0.0734190208658331,100,Mean_1_Cov_high_correlated
-1.540002103855999,0.2900660098996086,100,Mean_1_Cov_high_correlated
-1.4634770481486699,0.13998236185301355,100,Mean_1_Cov_high_correlated
0.46588135918896306,0.2237302937177501,100,Mean_1_Cov_high_correlated
-2.5475272479344335,0.19154358080778577,100,Mean_1_Cov_high_correlated
-0.8385630319292857,0.02711211828100397,100,Mean_1_Cov_high_correlated
-1.4650305549233567,0.4169577205785437,100,Mean_1_Cov_high_correlated
-0.8290707948785957,0.3251307460953904,100,Mean_1_Cov_high_correlated
-1.4647650974218527,0.07845751213404278,100,Mean_1_Cov_high_correlated
-3.099882778748478,0.7352896552251937,100,Mean_1_Cov_high_correlated
-0.6156144061039658,0.145087605116944,100,Mean_1_Cov_high_correlated
-2.1381787706419244,0.3736739942102081,100,Mean_1_Cov_high_correlated
-0.40033769286892684,0.10665287825956118,100,Mean_1_Cov_high_correlated
0.47960194648899734,0.20889476190164688,100,Mean_1_Cov_high_correlated
-0.6442603643783533,0.25389438453051627,100,Mean_1_Cov_high_correlated
0.1135880264667823,0.11684940074391617,100,Mean_1_Cov_high_correlated
-0.8442993260548985,0.1963973057458549,100,Mean_1_Cov_high_correlated
-0.3617727986991089,0.014705911025352226,100,Mean_1_Cov_high_correlated
-1.5861335038826214,0.03904536535598465,100,Mean_1_Cov_high_correlated
-1.3370152417663024,0.1578144461030379,100,Mean_1_Cov_high_correlated
-0.5668073075600337,0.1269258725779316,100,Mean_1_Cov_high_correlated
-1.4539911147789208,0.037248065960518995,100,Mean_1_Cov_high_correlated
-2.1484228954819793,0.04636867032280691,100,Mean_1_Cov_high_correlated
-1.146034366059584,0.22413653459498414,100,Mean_1_Cov_high_correlated
-1.3581742992423576,0.12101110142559983,100,Mean_1_Cov_high_correlated
0.14395269112995981,0.05704913467946343,100,Mean_1_Cov_high_correlated
-0.4527385563122256,0.10306453698003383,100,Mean_1_Cov_high_correlated
-0.9751199660864123,0.07153506581646464,100,Mean_1_Cov_high_correlated
0.03691086916106332,0.7212036416428012,0,Mean_1_Cov_high_correlated
-0.6138747539467022,0.01421983940399324,100,Mean_1_Cov_high_correlated
-1.4818867765266555,0.425681696242434,100,Mean_1_Cov_high_correlated
-1.8863894991616972,0.12765193731639168,100,Mean_1_Cov_high_correlated
0.26835243473874915,0.14065282999161008,100,Mean_1_Cov_high_correlated
-0.1963315823500507,0.09459533034702014,100,Mean_1_Cov_high_correlated
0.592385644192284,0.33242386607122726,100,Mean_1_Cov_high_correlated
-0.8774744227822627,0.16997580902314569,100,Mean_1_Cov_high_correlated
-0.847333611452059,0.064194427844819,100,Mean_1_Cov_high_correlated
-2.151978587862147,0.029106315942070367,100,Mean_1_Cov_high_correlated
-1.1649143460673912,0.04375827769551945,100,Mean_1_Cov_high_correlated
-1.3219692798766287,0.12650353079062435,100,Mean_1_Cov_high_correlated
-0.5627791984974516,0.16063925991553152,100,Mean_1_Cov_high_correlated
-0.7330605132455389,0.07124590269848576,100,Mean_1_Cov_high_correlated
-0.49476754917172044,0.3197404376767833,100,Mean_1_Cov_high_correlated
-1.2484302618446612,0.11688390426948306,100,Mean_1_Cov_high_correlated
-2.1700111482058038,0.14608756572678272,100,Mean_1_Cov_high_correlated
0.40153268365682937,0.546808332421407,100,Mean_1_Cov_high_correlated
-2.6272520665814625,0.1431814302790959,100,Mean_1_Cov_high_correlated
-1.6608199913623993,0.1358652019176031,100,Mean_1_Cov_high_correlated
0.07338679628881221,1.8263354691299285,0,Mean_1_Cov_high_correlated
-1.139203749798341,0.015612165763913962,100,Mean_1_Cov_high_correlated
-1.9057279332169996,0.17079409428257947,100,Mean_1_Cov_high_correlated
-0.9718851287128818,0.13004537443135802,100,Mean_1_Cov_high_correlated
-0.4961921214135668,0.08415274436192127,100,Mean_1_Cov_high_correlated
-0.6257267182758807,0.03486933032496045,100,Mean_1_Cov_high_correlated
-0.3995246942237466,0.6117349316783692,100,Mean_1_Cov_high_correlated
0.20469722829576856,0.15038095596037046,100,Mean_1_Cov_high_correlated
0.8194171134748125,0.32579924970056495,100,Mean_1_Cov_high_correlated
-1.4526342519868372,0.15747362064080056,100,Mean_1_Cov_high_correlated
0.22062958884704156,0.053378461818572316,100,Mean_1_Cov_high_correlated
0.6626042908622319,0.3409646610438678,100,Mean_1_Cov_high_correlated
0.20296573005600113,0.2180990945724567,100,Mean_1_Cov_high_correlated
-1.193588061139516,0.0763640319222397,100,Mean_1_Cov_high_correlated
-2.7940988487553975,0.3454037905080269,100,Mean_1_Cov_high_correlated
-0.5937606530147923,0.09581365082023241,100,Mean_1_Cov_high_correlated
-0.4654549033049608,0.1285192730279178,100,Mean_1_Cov_high_correlated
-0.2675131914847151,0.11309137594353558,100,Mean_1_Cov_high_correlated
-1.7020080760964504,0.1140023823437838,100,Mean_1_Cov_high_correlated
-0.18288975902968768,0.18024261839179925,100,Mean_1_Cov_high_correlated
-0.6935401482073797,0.5722583560211661,100,Mean_1_Cov_high_correlated
-2.4531936999857002,0.1027758918653076,100,Mean_1_Cov_high_correlated
-0.961418954998594,0.12928154540937647,100,Mean_1_Cov_high_correlated
-1.4220267871303385,0.09589764300849582,100,Mean_1_Cov_high_correlated
-1.7964766991910528,0.05248718996650137,100,Mean_1_Cov_high_correlated
-0.13774746556977482,0.11228062231821391,100,Mean_1_Cov_high_correlated
-0.4093581650712314,0.07915589005457756,100,Mean_1_Cov_high_correlated
-2.1587846663919996,0.029339863990203996,100,Mean_1_Cov_high_correlated
-0.8774364441936771,0.11312349020928257,100,Mean_1_Cov_high_correlated
0.1440780267069656,0.21551540324904625,100,Mean_1_Cov_high_correlated
-1.73374210227081,0.3747748902551798,100,Mean_1_Cov_high_correlated
-1.3615770579955297,0.48149758741111254,100,Mean_1_Cov_high_correlated
0.5276494077357615,0.23404023274848898,100,Mean_1_Cov_high_correlated
-0.2597264048560783,0.40408368280331214,100,Mean_1_Cov_high_correlated
0.2506947705723181,0.058408575987141415,100,Mean_1_Cov_high_correlated
-1.1926315837503225,0.37709839355559077,0,Mean_1_Cov_high_correlated
-0.02084895456461618,0.11134985291090421,100,Mean_1_Cov_high_correlated
-0.6875093759395469,0.08853350001272246,100,Mean_1_Cov_high_correlated
-0.9016359688806282,0.033754222787712965,100,Mean_1_Cov_high_correlated
-2.017184593000642,0.06125968317756911,100,Mean_1_Cov_high_correlated
-2.335539041563685,0.06354614305419394,100,Mean_1_Cov_high_correlated
-0.6743082606742882,0.3513622225225343,100,Mean_1_Cov_high_correlated
0.3635991854994809,0.32251995133136413,100,Mean_1_Cov_high_correlated
-1.3089428804113186,0.04899267548015559,100,Mean_1_Cov_high_correlated
0.4584521391221617,0.03422820499127213,100,Mean_1_Cov_high_correlated
-1.8861629807594373,0.2949799540476678,100,Mean_1_Cov_high_correlated
-1.972590305417836,0.16121976183968412,100,Mean_1_Cov_high_correlated
-1.440623564672776,0.025827799482658693,100,Mean_1_Cov_high_correlated
-1.3137155670887413,0.02674741080478992,100,Mean_1_Cov_high_correlated
-1.1939537957547337,0.3530898867768185,100,Mean_1_Cov_high_correlated
-0.6266816699180492,0.13227750308742367,100,Mean_1_Cov_high_correlated
-1.668972190884143,0.08540005309604759,100,Mean_1_Cov_high_correlated
-0.6424580335454745,0.021637873053678678,100,Mean_1_Cov_high_correlated
-0.8251400588448712,0.06306799283054967,100,Mean_1_Cov_high_correlated
-0.8745047985249685,0.12657455327083753,100,Mean_1_Cov_high_correlated
-1.155862947249378,0.12429104674681449,100,Mean_1_Cov_high_correlated
-0.667803134408191,0.05121410500083692,100,Mean_1_Cov_high_correlated
-0.14674957153439164,0.7362783292389077,100,Mean_1_Cov_high_correlated
-0.07780389207396447,0.38686582426776306,100,Mean_1_Cov_high_correlated
-1.1652039928029883,0.7069159509991478,100,Mean_1_Cov_high_correlated
-1.4829174076548401,0.1447744908912517,100,Mean_1_Cov_high_correlated
-0.8684588838027895,0.18198151664413093,100,Mean_1_Cov_high_correlated
-0.6383829212120044,0.202651571431724,100,Mean_1_Cov_high_correlated
0.013468564393611724,0.22853730353938612,100,Mean_1_Cov_high_correlated
-1.5485108905852087,0.195299993979964,100,Mean_1_Cov_high_correlated
-1.7881013737399725,0.048138627115799186,100,Mean_1_Cov_high_correlated
-1.2032651374727448,0.32983373264240634,100,Mean_1_Cov_high_correlated
-1.8235076368051988,0.38708532734642775,100,Mean_1_Cov_high_correlated
-1.9606208647468504,0.8620664403743803,0,Mean_1_Cov_high_correlated
-2.0273196364224484,0.23264391812016585,100,Mean_1_Cov_high_correlated
-0.9585377883168302,0.2154536752930785,100,Mean_1_Cov_high_correlated
-2.0479591930967564,0.4175527910979603,0,Mean_1_Cov_high_correlated
0.49905956027507714,0.11566821916829391,100,Mean_1_Cov_high_correlated
0.7991605639913095,0.14079307700534144,100,Mean_1_Cov_high_correlated
1.4081440932632894,0.02878517698860433,100,Mean_1_Cov_high_correlated
-1.1713291906233652,0.1276109886017921,100,Mean_1_Cov_high_correlated
-2.613030896462838,0.1659760064091407,100,Mean_1_Cov_high_correlated
-0.676929360232836,0.706906432140694,100,Mean_1_Cov_high_correlated
-0.7141994220985819,0.4709828599124364,100,Mean_1_Cov_high_correlated
0.38118408417672506,0.8422814525248546,100,Mean_1_Cov_high_correlated
-0.33360772831110286,0.04781887415794425,100,Mean_1_Cov_high_correlated
-1.6447894929319073,0.1622480116467973,100,Mean_1_Cov_high_correlated
-1.5487435876524605,0.26108774513460403,100,Mean_1_Cov_high_correlated
-0.9564464267334567,0.42214196573102775,100,Mean_1_Cov_high_correlated
-2.2094328247192205,0.2599998481231483,100,Mean_1_Cov_high_correlated
-2.561604466174487,0.4304173990915216,100,Mean_1_Cov_high_correlated
-1.1257781082559735,0.7068248700872868,100,Mean_1_Cov_high_correlated
-2.35274009055365,0.7824605179297628,100,Mean_1_Cov_high_correlated
-1.135802240517474,0.20005178956766906,100,Mean_1_Cov_high_correlated
-1.4651783812131975,0.28514295694865,0,Mean_1_Cov_high_correlated
0.4650057788659781,0.050429416944638865,100,Mean_1_Cov_high_correlated
-1.2814028256632188,0.10097624939662976,100,Mean_1_Cov_high_correlated
-2.207526118100842,0.4729979656090213,100,Mean_1_Cov_high_correlated
-1.1281098625887038,0.12180043378261605,100,Mean_1_Cov_high_correlated
-1.6318697217718219,0.021056257562209548,100,Mean_1_Cov_high_correlated
-0.45381957557298036,0.05089254410397926,100,Mean_1_Cov_high_correlated
-1.0620535202286552,0.43304824966941347,100,Mean_1_Cov_high_correlated
0.09894333363659448,0.24385670753704713,100,Mean_1_Cov_high_correlated
-0.30547340827139174,0.19808254495245448,100,Mean_1_Cov_high_correlated
-0.7845574563989752,0.07924649513010978,100,Mean_1_Cov_high_correlated
0.899062055491489,0.08445433900740111,100,Mean_1_Cov_high_correlated
-0.8178454174847745,0.6220988808095992,0,Mean_1_Cov_high_correlated
-0.6333131515438695,0.025875249453378796,100,Mean_1_Cov_high_correlated
-0.5375788379706722,0.10283371426410334,100,Mean_1_Cov_high_correlated
-2.8137405435362086,0.27745171821070674,100,Mean_1_Cov_high_correlated
-1.2007663942566082,0.06908836379733918,100,Mean_1_Cov_high_correlated
-0.22503035957576412,0.12832463523897636,100,Mean_1_Cov_high_correlated
-0.15873871304206294,0.1126700034314724,100,Mean_1_Cov_high_correlated
-0.6489201108535344,0.03107864336263043,100,Mean_1_Cov_high_correlated
-0.5745556425560288,0.24988196767899684,100,Mean_1_Cov_high_correlated
-2.0922949802860313,0.06836166301182366,100,Mean_1_Cov_high_correlated
-1.6497318098964449,0.08708029139101316,100,Mean_1_Cov_high_correlated
-0.47443930517608984,0.06956994053570996,100,Mean_1_Cov_high_correlated
-2.360068739880886,0.18287097789172108,100,Mean_1_Cov_high_correlated
0.3731758756656774,0.0399245610841805,100,Mean_1_Cov_high_correlated
0.2880136648425157,0.3093100108773232,100,Mean_1_Cov_high_correlated
-1.2430493792513932,0.8930194831128532,0,Mean_1_Cov_high_correlated
-0.8845306347955051,0.13249469933833946,100,Mean_1_Cov_high_correlated
-0.5140504940864529,0.2325840599933177,100,Mean_1_Cov_high_correlated
-0.32033748230115117,0.019796811496823302,100,Mean_1_Cov_high_correlated
-1.3024762101150227,0.23111303009692155,100,Mean_1_Cov_high_correlated
-0.8882123216436458,0.021321030208203282,100,Mean_1_Cov_high_correlated
-2.160605605262659,1.095828734655349,0,Mean_1_Cov_high_correlated
-2.835368238516495,0.11395422650690439,100,Mean_1_Cov_high_correlated
0.2827240826332789,0.13623942869144298,100,Mean_1_Cov_high_correlated
-0.3503401699963789,0.04271403032023954,100,Mean_1_Cov_high_correlated
-2.5248848994156363,0.24891300106499098,100,Mean_1_Cov_high_correlated
-1.4061482626327888,0.019652292569068638,100,Mean_1_Cov_high_correlated
-0.3547835028800695,0.039121465010765966,100,Mean_1_Cov_high_correlated
-0.6945199541282737,0.211641941499455,100,Mean_1_Cov_high_correlated
-1.9373009060255422,0.11085004245000785,100,Mean_1_Cov_high_correlated
-0.8379767091488856,0.015251506556789345,100,Mean_1_Cov_high_correlated
-2.035781771015581,0.15631789003546,100,Mean_1_Cov_high_correlated
0.49653823118818524,0.13878071536014427,100,Mean_1_Cov_high_correlated
0.6089291197776856,0.38447928258303127,100,Mean_1_Cov_high_correlated
-0.8731735534813757,0.09155813632627106,100,Mean_1_Cov_high_correlated
0.13390518853025124,0.20000878402032118,100,Mean_1_Cov_high_correlated
