Param,Nb_sample,NLL_Mean,NLL_Sd,CIC_Mean,CIC_Sd
0,5,1.5,0.88,81.67,38.76
0,10,1.35,0.65,91.67,27.68
0,50,2.2,0.49,96.33,18.83
0,100,2.59,0.49,93.33,24.99
0.01,5,1.49,0.87,83.33,37.33
0.01,10,1.35,0.65,91.67,27.68
0.01,50,2.2,0.49,96.33,18.83
0.01,100,2.59,0.49,93.33,24.99
0.05,5,1.45,0.85,85,35.77
0.05,10,1.35,0.65,91.33,28.18
0.05,50,2.2,0.49,96.33,18.83
0.05,100,2.59,0.49,93.33,24.99
0.1,5,1.42,0.83,86.33,34.41
0.1,10,1.34,0.65,92.33,26.65
0.1,50,2.2,0.49,96.33,18.83
0.1,100,2.59,0.49,93.33,24.99
0.5,5,1.29,0.76,94.33,23.14
0.5,10,1.32,0.63,92.67,26.09
0.5,50,2.19,0.49,96.33,18.81
0.5,100,2.59,0.49,93.33,24.97
1,5,1.21,0.73,95.67,20.39
1,10,1.3,0.63,94.33,23.16
1,50,2.19,0.49,96.33,18.83
1,100,2.59,0.49,93.33,24.99
